,XGBoost
48,0.0
49,0.03076073
50,0.016025051
51,0.00073678396
52,0.035181433
53,0.0011051759
54,0.00092097995
55,0.0
56,0.0
57,0.0012893719
58,0.00073678396
59,0.0018419599
60,0.011604347
,XGBoost
0,0.041879095
1,0.031500366
2,0.032592863
3,0.01984705
4,0.023852877
5,0.035142023
6,0.0023670795
7,0.0040058265
8,0.010924982
9,0.0021849964
10,0.014384559
11,0.018390385
12,0.011835397
13,0.037144937
14,0.009832484
15,0.03841952
16,0.01565914
17,0.037144937
18,0.015477058
19,0.01802622
20,0.034595776
21,0.035142023
22,0.02822287
23,0.023852877
24,0.022578295
25,0.032410778
26,0.017844137
27,0.009104151
28,0.015112892
29,0.0063729063
30,0.00418791
31,0.023852877
32,0.013109978
33,0.0005462491
34,0.024399126
35,0.06791697
36,0.03131828
37,0.05098325
38,0.011653314
39,0.042425346
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.032774944
50,0.016023306
51,0.0
52,0.017662054
53,0.00018208304
54,0.00091041514
55,0.0
56,0.0
57,0.0069191554
58,0.00018208304
59,0.0036416606
60,0.005462491
,XGBoost
0,0.035156984
1,0.03816507
2,0.029892838
3,0.019740554
4,0.022748636
5,0.031208875
6,0.0037601052
7,0.0047001317
8,0.008836247
9,0.0024440684
10,0.019928558
11,0.016356459
12,0.01861252
13,0.03966911
14,0.0039481106
15,0.029516827
16,0.016356459
17,0.033652943
18,0.019552547
19,0.020304568
20,0.03854108
21,0.030080842
22,0.02575672
23,0.026884753
24,0.023124648
25,0.030268848
26,0.012032337
27,0.006580184
28,0.024064673
29,0.005076142
30,0.0037601052
31,0.023312652
32,0.011844331
33,0.00018800526
34,0.026508743
35,0.06692988
36,0.036097012
37,0.049821395
38,0.013536379
39,0.042113177
40,0.00018800526
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.037037037
50,0.011092311
51,0.00018800526
52,0.022748636
53,0.00075202103
54,0.0009400263
55,0.0
56,0.0
57,0.0075202105
58,0.0
59,0.0035721
60,0.004888137
,XGBoost
0,0.039698586
1,0.030325308
2,0.029590148
3,0.020584451
4,0.024260247
5,0.030325308
6,0.0018378975
7,0.004043374
8,0.011762544
9,0.0016541077
10,0.020768242
11,0.019114133
12,0.016908657
13,0.039698586
14,0.0056974823
15,0.025362985
16,0.020216871
17,0.037125528
18,0.022789929
19,0.027936041
20,0.040249955
21,0.03344973
22,0.025914354
23,0.02205477
24,0.023157507
25,0.027936041
26,0.012497703
27,0.012865282
28,0.022973718
29,0.004043374
30,0.004227164
31,0.012313913
32,0.009189487
33,0.0
34,0.02903878
35,0.07186179
36,0.037860688
37,0.04374196
38,0.013049072
39,0.039698586
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.03473626
50,0.0104760155
51,0.0
52,0.024627825
53,0.0005513692
54,0.00018378974
55,0.0
56,0.0
57,0.0047785332
58,0.0003675795
59,0.0034920052
60,0.0049623232
,XGBoost
0,0.038404725
1,0.02935746
2,0.029172821
3,0.021787297
4,0.023264403
5,0.039697193
6,0.0025849335
7,0.0038774002
8,0.011262924
9,0.001661743
10,0.017355982
11,0.02141802
12,0.01366322
13,0.034342688
14,0.0046159527
15,0.030465288
16,0.024372231
17,0.035819795
18,0.018094534
19,0.01754062
20,0.03600443
21,0.03600443
22,0.026218612
23,0.021787297
24,0.021971935
25,0.031019202
26,0.016432792
27,0.013109306
28,0.02141802
29,0.005354505
30,0.005354505
31,0.015509601
32,0.017355982
33,0.0003692762
34,0.025664696
35,0.068870015
36,0.036189068
37,0.042651404
38,0.0108936485
39,0.039881833
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0001846381
46,0.0
47,0.0
48,0.0
49,0.035819795
50,0.012924667
51,0.0
52,0.022525849
53,0.0001846381
54,0.0007385524
55,0.0
56,0.0
57,0.009601181
58,0.0
59,0.0027695717
60,0.0044313148
,XGBoost
0,0.04585153
1,0.023835517
2,0.027656477
3,0.023835517
4,0.02510917
5,0.030203784
6,0.0034570596
7,0.0058224164
8,0.01073508
9,0.0029112082
10,0.020742359
11,0.016921397
12,0.015465793
13,0.036208153
14,0.00709607
15,0.033296943
16,0.020742359
17,0.037845705
18,0.022925764
19,0.018013101
20,0.033660844
21,0.027838428
22,0.026746726
23,0.029657934
24,0.026564775
25,0.038573507
26,0.012736536
27,0.008369723
28,0.018195052
29,0.01055313
30,0.0043668123
31,0.0074599707
32,0.010189229
33,0.00036390102
34,0.026746726
35,0.06568413
36,0.03584425
37,0.05276565
38,0.012918486
39,0.034024745
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.031659387
50,0.012554585
51,0.00018195051
52,0.02183406
53,0.00072780205
54,0.00054585154
55,0.0
56,0.0
57,0.008551674
58,0.0
59,0.005276565
60,0.006732169
,XGBoost
0,0.039040715
1,0.03327756
2,0.045733407
3,0.02937349
4,0.031604387
5,0.02937349
6,0.004461796
7,0.00706451
8,0.012455847
9,0.0027886224
10,0.023238521
11,0.025841234
12,0.016174011
13,0.039970256
14,0.0037181631
15,0.017475367
16,0.01914854
17,0.047778398
18,0.019520357
19,0.02230898
20,0.04275888
21,0.020821715
22,0.017661275
23,0.017475367
24,0.020821715
25,0.028815765
26,0.0085517755
27,0.0130135715
28,0.01914854
29,0.008923592
30,0.0042758877
31,0.008923592
32,0.004833612
33,0.00018590817
34,0.02621305
35,0.05149656
36,0.05261201
37,0.041829336
38,0.008923592
39,0.04034207
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.003346347
46,0.0
47,0.00037181634
48,0.0
49,0.032348022
50,0.010596765
51,0.00018590817
52,0.03141848
53,0.0013013572
54,0.00037181634
55,0.0
56,0.0
57,0.001115449
58,0.00018590817
59,0.005577245
60,0.0052054287
,XGBoost
0,0.044624746
1,0.04278075
2,0.02544717
3,0.01622718
4,0.02544717
5,0.037064355
6,0.0
7,0.0046099946
8,0.00848239
9,0.004241195
10,0.019361977
11,0.01641158
12,0.01641158
13,0.036326755
14,0.0018439977
15,0.033007562
16,0.019177577
17,0.03558916
18,0.022312373
19,0.020283977
20,0.037248757
21,0.036326755
22,0.027291168
23,0.020468375
24,0.02563157
25,0.031901162
26,0.015673982
27,0.009219989
28,0.018993177
29,0.0071915914
30,0.0018439977
31,0.015489581
32,0.013645584
33,0.00018439977
34,0.02563157
35,0.060667526
36,0.04075235
37,0.030794764
38,0.010141988
39,0.046468746
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.03374516
50,0.011063986
51,0.0
52,0.026369167
53,0.0007375991
54,0.001659598
