,ExtraTreesClassifier
48,0.0011134717677327094
49,0.10650937289791329
50,0.012369863221790567
51,0.01918735633769522
52,0.06256798343068844
53,0.0036133940893073907
54,0.0014079022735579427
55,0.0017811967900863163
56,0.0010144431016434821
57,0.012415401403221367
58,0.004763630274392554
59,0.00984452936051225
60,0.02779466883036568
,ExtraTreesClassifier
0,0.013053363560781683
1,0.013671532629736307
2,0.015286018685959236
3,0.010212056576219281
4,0.013142773487338994
5,0.011161453886104533
6,0.008476737893208635
7,0.009353186623826023
8,0.008111685058583964
9,0.0077139826754976885
10,0.013544166479191986
11,0.012692833786116348
12,0.01365029834795138
13,0.009219390856926656
14,0.009012514404657305
15,0.014937102162324434
16,0.014565090170105172
17,0.015214005506226763
18,0.01547386092176827
19,0.01555820165842782
20,0.01729963950997178
21,0.015425225748102768
22,0.016774967086803424
23,0.015325202758680873
24,0.01237626402710571
25,0.016403203107413087
26,0.037672571203892155
27,0.012671116094509554
28,0.010213395318507594
29,0.010111114950854585
30,0.003862803867523402
31,0.006205166663423463
32,0.006129210194557712
33,0.012281773447524603
34,0.13679881668669233
35,0.029480734026097587
36,0.024744091558323113
37,0.012642050284835862
38,0.01941936728515977
39,0.01050566710153072
40,0.009685472619938115
41,0.010672199948914074
42,0.0017274493350204778
43,0.0004896725265735952
44,0.006109713157495847
45,0.004667157542121796
46,0.005043591465364609
47,0.004356407900663313
48,0.0009898844649083446
49,0.10015845468374616
50,0.012545535112557677
51,0.01779453221658976
52,0.06771755672749256
53,0.0038869751379796143
54,0.001569888728284321
55,0.0012155960733370235
56,0.0006548662209111516
57,0.018279993643652202
58,0.006321661726099834
59,0.014331419244087594
60,0.04138933523179936
,ExtraTreesClassifier
0,0.020607577730881465
1,0.013495906721548141
2,0.011763719934356416
3,0.009190257583256969
4,0.018564770652817676
5,0.010841586574050549
6,0.0049585845193046265
7,0.00960619842949693
8,0.010436830556460497
9,0.009055777014820392
10,0.014294737717916254
11,0.013412363409678702
12,0.010236315041572271
13,0.013344907754113329
14,0.011273745140408901
15,0.021391715916690025
16,0.014553521336933512
17,0.014084053659436081
18,0.01596061002729145
19,0.014960337747723066
20,0.015881010851378937
21,0.015756168098287057
22,0.015235364830555926
23,0.019128903476112666
24,0.013601389958328682
25,0.014937985029265799
26,0.045854885858643286
27,0.011603088053427291
28,0.012548009749140448
29,0.008863158909198563
30,0.005284401746645992
